Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_base,-6.5434E-06,-3.0136E-05,0.04594,0,0,0,0.80803,0.00092813,6.707E-08,3.934E-09,0.00064636,6.3628E-07,0.0013107,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_base.STL,,01-BASE-1_ASM-1,link_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.006732,-0.0026038,-0.030755,0,0,0,0.21725,0.0002087,-7.4902E-11,2.1682E-05,0.00013601,-1.7794E-10,0.00019496,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link1.STL,,Link1-1,link1,axis_joint1,joint1,revolute,0,0,0.1402,0,0,0,link_base,0,0,1,27,52,-2.8,2.8,,,,,,,,
link2,0.13387,0.0013182,0.0011293,0,0,0,1.1962,0.00043289,7.5105E-07,-7.4619E-09,0.0022849,-1.2727E-06,0.0023089,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link2.STL,,Link2-1,link2,axis_joint2,joint2,revolute,0.02,0,0,1.5708,0,3.1416,link1,0,0,1,27,52,-3.14,0,,,,,,,,
link3,0.15962,-0.015443,0.00025735,0,0,0,0.79864,0.00030158,0.00023977,-3.4218E-06,0.001404,7.8585E-08,0.0015411,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link3.STL,,2-SPACE-UP-1;03-LINK-2_ASM-1,link3,axis_joint3,joint3,revolute,0.264,0,0,0,0,2.9226,link2,0,0,1,27,52,0,3.14,,,,,,,,
link4,0.062723,-0.049703,-0.00078429,0,0,0,0.47297,0.00017058,-2.0802E-05,-6.9844E-08,0.00024835,9.448E-07,0.00023461,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link4.STL,,04-LINK-3_ASM-1,link4,axis_joint4,joint4,revolute,0.24854,0,0,0,-0.030795,0.21913,link3,0,0,1,7,200,-1.87,1.87,,,,,,,,
link5,0.00076979,0.0011147,-0.0031589,0,0,0,0.37548,0.00013531,9.8647E-10,3.4189E-08,0.00015516,7.7587E-06,0.00012975,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link5.STL,,2026-04-01-17-02-36-958-1,link5,axis_joint5,joint5,revolute,0.078283,0.0024911,-0.0016418,1.571,1.54,-3.1416,link4,0,0,1,7,200,-1.57,1.57,,,,,,,,
link6,-1.1617E-08,1.2701E-05,0.029727,0,0,0,0.069707,1.5232E-05,-1.0734E-12,-2.6348E-12,1.4092E-05,4.0898E-10,2.8254E-05,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link6.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link6.STL,,05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-KA3-12-4;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-KA3-12-2;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-KA3-12-1;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-KA3-12-3;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-4;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-7;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-6;05-GRIPPER_ASM-1/2026-04-01-13-55-23-860-1;05-GRIPPER_ASM-1/2026-04-01-13-55-23-863-1;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-6-1;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-2;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-1;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-3;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-6-3;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-6-4;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-6-2;05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/7-HM3-12-5,link6,axis_joint6,joint6,revolute,0.00076939,-1.1537E-05,0,1.5707,0,0,link5,0,0,1,7,200,-3.14,3.14,,,,,,,,
link_end,0.038748,9.779E-05,1.2628E-07,0,0,0,0.43115,0.00039433,-8.3204E-07,-8.5075E-10,0.00011626,-3.4879E-08,0.00036421,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end.STL,,05-GRIPPER_ASM-1/2026-04-01-13-55-23-866-1/DM-J4310-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-899-1/1-RAIL-BASE-2-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-894-1/2-RAIL-BASE-1-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/6-RAIL-170-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KA3-12-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-4;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-5;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KA3-12-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-6;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-6;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-12;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-11;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-9;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-10;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-5;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-8;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-25-4;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KA3-12-4;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KA3-12-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-7-7;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-S-M4-5-JIMI-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-4,link_end,,joint_link_end,fixed,0,0,0.032692,1.5708,-1.5708,0,link6,0,0,0,,,,,,,,,,,,
link_end1,0.0096666,-3.5598E-07,-4.9969E-06,0,0,0,0.02289,1.4526E-06,6.9203E-11,2.7359E-09,1.1567E-06,1.0262E-11,1.158E-06,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end1.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end1.STL,,2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/5-GEAR-1M16C-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-894-1/2-M7-ROTOR-1,link_end1,axis_joint_end1,joint_end1,revolute,0.0485,0,0,0,0,0,link_end,1,0,0,7,200,-5,0,,,,,,,,
link_end_finger1,-0.0061498,-0.01173,-0.002981,0,0,0,0.086273,2.0688E-05,6.4274E-07,3.2126E-07,1.0979E-05,-4.8548E-08,1.7643E-05,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end_finger1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://JoyArm_dm_1.1_mdh/meshes/link_end_finger1.STL,,2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-894-1/2-SLIDER-FIX-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-894-1/2-RACK-1M-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/6-SLIDER-1;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-16-6;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-16-5;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-16-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-KM3-16-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-899-1/2026-03-01-16-08-09-250-2;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-3;2026-04-01-17-05-40-350-1/2026-04-01-13-55-23-888-1/7-HM3-6-1,link_end_finger1,axis_ joint_end_pris1,joint_end_pris1,prismatic,0.0859,2.7531E-05,-1.3031E-05,0,0,0,link_end,0,1,-0.00014746,7,0.08,0,0.05,,,,,,,,
